"","week_num","product_analytic_sub_category","total_gmv","total_units","no_of_orders","total_payment_cod","total_payment_prepaid","avg_sla","avg_product_mrp","avg_product_procurement_sla","avg_discount","avg_unitPrice","Total.Investment","TV","Digital","Sponsorship","Content.Marketing","Online.marketing","Affiliates","SEM","Radio","Other","spl_days","NPS"
"1",1,"CameraAccessory",15731,26,26,0,26,2.23076923076923,1412.34615384615,2.88461538461538,49.9026923076923,605.038461538462,3.86129032258065,0.0451612903225806,0.564516129032258,1.67096774193548,0,0.293548387096774,0.112903225806452,1.12903225806452,0,0,0,12.3290322580645
"2",1,"GamingAccessory",46055,32,31,1,30,3.12903225806452,3626.83870967742,3.2258064516129,29.6364516129032,1398.58064516129,3.86129032258065,0.0451612903225806,0.564516129032258,1.67096774193548,0,0.293548387096774,0.112903225806452,1.12903225806452,0,0,0,12.3290322580645
"3",1,"HomeAudio",106756,38,38,1,37,2.78947368421053,4642.47368421053,3.60526315789474,35.5594736842105,2809.36842105263,3.86129032258065,0.0451612903225806,0.564516129032258,1.67096774193548,0,0.293548387096774,0.112903225806452,1.12903225806452,0,0,0,12.3290322580645
"4",2,"CameraAccessory",4375483,3400,3252,2171,1081,7.20141451414514,2412.35270602706,2.81426814268143,43.8265836408364,1327.78351783518,3.86129032258065,0.0451612903225806,0.564516129032258,1.67096774193548,0,0.293548387096774,0.112903225806452,1.12903225806452,0,0,0,12.3290322580645
"5",2,"GamingAccessory",2791376,3178,3018,2252,766,5.64744864148443,1915.33267064281,3.34559310801856,40.6145129224652,891.537110669317,3.86129032258065,0.0451612903225806,0.564516129032258,1.67096774193548,0,0.293548387096774,0.112903225806452,1.12903225806452,0,0,0,12.3290322580645
"6",2,"HomeAudio",5239234.1330905,2459,2434,1853,581,7.66392769104355,3356.77814297453,2.84880854560394,31.3732374691865,2140.02634884573,3.86129032258065,0.0451612903225806,0.564516129032258,1.67096774193548,0,0.293548387096774,0.112903225806452,1.12903225806452,0,0,0,12.3290322580645
"7",3,"CameraAccessory",4302042,3194,3097,2042,1055,6.23377462060058,2412.89279948337,2.83952211817888,43.9479980626413,1371.60865353568,3.86129032258065,0.0451612903225806,0.564516129032258,1.67096774193548,0,0.293548387096774,0.112903225806452,1.12903225806452,0,0,1,12.3290322580645
"8",3,"GamingAccessory",2117190.35919791,2805,2552,1923,629,5.19866771159875,2012.85227272727,2.93965517241379,45.0721042319749,808.753667397299,3.86129032258065,0.0451612903225806,0.564516129032258,1.67096774193548,0,0.293548387096774,0.112903225806452,1.12903225806452,0,0,1,12.3290322580645
"9",3,"HomeAudio",5348673,2423,2403,1841,562,6.94798168955472,3555.80524344569,2.81814398668331,32.2766208905535,2211.19017894299,3.86129032258065,0.0451612903225806,0.564516129032258,1.67096774193548,0,0.293548387096774,0.112903225806452,1.12903225806452,0,0,1,12.3290322580645
"10",4,"CameraAccessory",4177701,3066,2935,1997,938,6.41499148211244,2458.11754684838,2.87291311754685,43.2439250425894,1391.31584327087,3.86129032258065,0.0451612903225806,0.564516129032258,1.67096774193548,0,0.293548387096774,0.112903225806452,1.12903225806452,0,0,0,12.3290322580645
"11",4,"GamingAccessory",2346385.5,2257,2161,1682,479,5.66728366496992,2313.56085145766,2.82878297084683,38.4489079130032,1049.45164275798,3.86129032258065,0.0451612903225806,0.564516129032258,1.67096774193548,0,0.293548387096774,0.112903225806452,1.12903225806452,0,0,0,12.3290322580645
"12",4,"HomeAudio",4521229,2180,2165,1698,467,7.13487297921478,3418.12979214781,2.88036951501155,31.7482401847575,2074.42355658199,3.86129032258065,0.0451612903225806,0.564516129032258,1.67096774193548,0,0.293548387096774,0.112903225806452,1.12903225806452,0,0,0,12.3290322580645
"13",5,"CameraAccessory",2199584,1700,1622,1136,486,6.43094944512947,2348.13008631319,2.86929716399507,42.7476695437731,1333.4617755857,2.31290322580645,0.0193548387096774,0.409677419354839,0.858064516129032,0,0.138709677419355,0.0612903225806452,0.806451612903226,0,0,0,13.0258064516129
"14",5,"GamingAccessory",1427062,1400,1324,1065,259,5.84214501510574,6172.90709969789,3.61404833836858,45.3451888217523,1024.91125377643,2.31290322580645,0.0193548387096774,0.409677419354839,0.858064516129032,0,0.138709677419355,0.0612903225806452,0.806451612903226,0,0,0,13.0258064516129
"15",5,"HomeAudio",2776452,1287,1281,989,292,7.35128805620609,3506.15144418423,2.7408274785324,31.4849336455894,2161.72053083528,2.31290322580645,0.0193548387096774,0.409677419354839,0.858064516129032,0,0.138709677419355,0.0612903225806452,0.806451612903226,0,0,0,13.0258064516129
"16",6,"CameraAccessory",2897,5,5,2,3,8.4,829.6,4,3.352,579.4,1.15161290322581,0,0.293548387096774,0.248387096774194,0,0.0225806451612903,0.0225806451612903,0.564516129032258,0,0,0,13.5483870967742
"17",6,"GamingAccessory",5941,6,6,5,1,7,2109.83333333333,3,51.2916666666667,990.166666666667,1.15161290322581,0,0.293548387096774,0.248387096774194,0,0.0225806451612903,0.0225806451612903,0.564516129032258,0,0,0,13.5483870967742
"18",7,"CameraAccessory",598,2,2,2,0,6,1990,1,84.97,299,1.15161290322581,0,0.293548387096774,0.248387096774194,0,0.0225806451612903,0.0225806451612903,0.564516129032258,0,0,4,13.5483870967742
"19",7,"GamingAccessory",940,1,1,0,1,7,4999,1,81.2,940,1.15161290322581,0,0.293548387096774,0.248387096774194,0,0.0225806451612903,0.0225806451612903,0.564516129032258,0,0,4,13.5483870967742
"20",8,"GamingAccessory",1465,5,5,5,0,3.8,699,2.4,57.16,293,1.15161290322581,0,0.293548387096774,0.248387096774194,0,0.0225806451612903,0.0225806451612903,0.564516129032258,0,0,0,13.5483870967742
"21",9,"CameraAccessory",12135,23,23,17,6,8.52173913043478,879.434782608696,2.73913043478261,41.3891304347826,527.608695652174,4.19709677419355,0.13,0.298279569892473,2.30623655913978,0.02,0.566021505376344,0.186021505376344,0.690537634408602,0,0,3,13.1762365591398
"22",9,"GamingAccessory",25178,32,28,28,0,5.21428571428571,1347.21428571429,3.14285714285714,39.8914285714286,696.857142857143,4.19709677419355,0.13,0.298279569892473,2.30623655913978,0.02,0.566021505376344,0.186021505376344,0.690537634408602,0,0,3,13.1762365591398
"23",9,"HomeAudio",34568,14,14,8,6,5.42857142857143,3168.14285714286,3.14285714285714,23.2585714285714,2469.14285714286,4.19709677419355,0.13,0.298279569892473,2.30623655913978,0.02,0.566021505376344,0.186021505376344,0.690537634408602,0,0,3,13.1762365591398
"24",10,"CameraAccessory",8924313,7306,6972,4864,2108,6.57845668387837,2293.66322432588,2.88826735513483,44.3209021801492,1259.31310958118,22.47,0.91,0.326666666666667,14.6533333333333,0.14,3.82666666666667,1.16666666666667,1.44666666666667,0,0,0,10.9433333333333
"25",10,"GamingAccessory",4752657,6068,5808,4630,1178,5.34400826446281,1807.16976584022,2.96625344352617,39.3031439393939,801.213670798898,22.47,0.91,0.326666666666667,14.6533333333333,0.14,3.82666666666667,1.16666666666667,1.44666666666667,0,0,0,10.9433333333333
