,total_gmv,total_units,no_of_orders,total_payment_cod,total_payment_prepaid,avg_sla,avg_product_mrp,avg_product_procurement_sla,avg_discount,avg_unitPrice,Total.Investment,TV,Digital,Sponsorship,Content.Marketing,Online.marketing,Affiliates,SEM,Radio,Other,spl_days,NPS
total_gmv,1,0.880487756,0.884207089,0.872010852,0.636289555,-0.476300794,0.186487556,-0.420524446,0.378973792,-0.021422981,0.319774667,0.186718611,0.175129843,0.299370677,0.247960052,0.270961125,0.252419308,0.217804788,0.018253538,0.014920887,0.076053343,-0.063020572
total_units,0.880487756,1,0.999897933,0.949981297,0.790526385,-0.414770471,-0.100358399,-0.422041562,0.597955735,-0.298050287,0.268245828,0.169051973,0.119850944,0.2429504,0.189886327,0.253706909,0.241709743,0.159327713,0.038131148,0.030637921,0.030389046,-0.035737899
no_of_orders,0.884207089,0.999897933,1,0.950168633,0.790429518,-0.418606356,-0.094659602,-0.425741601,0.596115249,-0.293473207,0.268989394,0.170412164,0.119512202,0.242560334,0.190341592,0.256004486,0.244129196,0.159297383,0.039763504,0.03216594,0.03094097,-0.035685511
total_payment_cod,0.872010852,0.949981297,0.950168633,1,0.560086281,-0.400270222,-0.052908772,-0.390285285,0.551416609,-0.250274258,0.294432122,0.133224378,0.155830448,0.253006386,0.248871318,0.272220811,0.249372786,0.193419449,0.078327584,0.067515333,0.072808114,-0.076832742
total_payment_prepaid,0.636289555,0.790526385,0.790429518,0.560086281,1,-0.325920034,-0.147592118,-0.36450194,0.500648692,-0.2881185,0.136284242,0.191085449,0.011399366,0.147449828,0.016804672,0.145421647,0.158758972,0.043266524,-0.04824059,-0.047185229,-0.060840729,0.056140469
avg_sla,-0.476300794,-0.414770471,-0.418606356,-0.400270222,-0.325920034,1,-0.185649511,0.387229066,-0.232084849,-0.006320654,0.135842165,0.06151821,0.172562831,0.108522961,0.178527059,0.084184553,0.074208527,0.176027431,-0.023996081,-0.01164069,0.072026195,0.021673626
avg_product_mrp,0.186487556,-0.100358399,-0.094659602,-0.052908772,-0.147592118,-0.185649511,1,-0.234271781,-0.156688422,0.942890559,-0.046948264,-0.067804411,0.02010943,-0.048219079,-0.01152564,-0.044856312,-0.047885104,0.010684623,-0.017392038,-0.028110921,-0.024137939,-0.00854933
avg_product_procurement_sla,-0.420524446,-0.422041562,-0.425741601,-0.390285285,-0.36450194,0.387229066,-0.234271781,1,-0.650021811,-0.066861553,0.034364197,-0.031979516,0.050581661,0.077994963,0.053508998,-0.034601774,-0.049753641,0.053066433,-0.072602573,-0.070840025,-0.010918455,0.003781261
avg_discount,0.378973792,0.597955735,0.596115249,0.551416609,0.500648692,-0.232084849,-0.156688422,-0.650021811,1,-0.38070922,0.124014529,0.129138082,0.024053266,0.073864663,0.071667185,0.182601845,0.185832396,0.051182487,0.064463013,0.059637514,0.041893328,-0.049274583
avg_unitPrice,-0.021422981,-0.298050287,-0.293473207,-0.250274258,-0.2881185,-0.006320654,0.942890559,-0.066861553,-0.38070922,1,-0.095224958,-0.111528644,0.002327859,-0.079418897,-0.050707566,-0.109246907,-0.111978035,-0.016684327,-0.033381134,-0.044756885,-0.054587806,-0.000390762
Total.Investment,0.319774667,0.268245828,0.268989394,0.294432122,0.136284242,0.135842165,-0.046948264,0.034364197,0.124014529,-0.095224958,1,0.690544348,0.713661848,0.890487992,0.861415227,0.72596662,0.66300229,0.812555209,0.075447889,0.110197588,-0.046771393,-0.328715864
TV,0.186718611,0.169051973,0.170412164,0.133224378,0.191085449,0.06151821,-0.067804411,-0.031979516,0.129138082,-0.111528644,0.690544348,1,0.29646945,0.516547652,0.360898386,0.599414662,0.645226217,0.331631282,0.156810285,0.365241322,-0.049126002,-0.166860767
Digital,0.175129843,0.119850944,0.119512202,0.155830448,0.011399366,0.172562831,0.02010943,0.050581661,0.024053266,0.002327859,0.713661848,0.29646945,1,0.691607836,0.896780477,0.254269038,0.176721467,0.97315366,-0.279853078,-0.242410304,-0.032354366,-0.18147767
Sponsorship,0.299370677,0.2429504,0.242560334,0.253006386,0.147449828,0.108522961,-0.048219079,0.077994963,0.073864663,-0.079418897,0.890487992,0.516547652,0.691607836,1,0.722331823,0.441243491,0.360296557,0.764379993,-0.290860304,-0.251312041,-0.179529459,-0.291926515
Content.Marketing,0.247960052,0.189886327,0.190341592,0.248871318,0.016804672,0.178527059,-0.01152564,0.053508998,0.071667185,-0.050707566,0.861415227,0.360898386,0.896780477,0.722331823,1,0.57243169,0.481954584,0.95531708,0.041129156,0.008228177,0.064109114,-0.317454568
Online.marketing,0.270961125,0.253706909,0.256004486,0.272220811,0.145421647,0.084184553,-0.044856312,-0.034601774,0.182601845,-0.109246907,0.72596662,0.599414662,0.254269038,0.441243491,0.57243169,1,0.988302428,0.417430458,0.35851352,0.302998646,0.184687627,-0.221446304
Affiliates,0.252419308,0.241709743,0.244129196,0.249372786,0.158758972,0.074208527,-0.047885104,-0.049753641,0.185832396,-0.111978035,0.66300229,0.645226217,0.176721467,0.360296557,0.481954584,0.988302428,1,0.327972732,0.372746454,0.34494944,0.194232038,-0.178187611
SEM,0.217804788,0.159327713,0.159297383,0.193419449,0.043266524,0.176027431,0.010684623,0.053066433,0.051182487,-0.016684327,0.812555209,0.331631282,0.97315366,0.764379993,0.95531708,0.417430458,0.327972732,1,-0.195572033,-0.20492286,-0.006847038,-0.252460824
Radio,0.018253538,0.038131148,0.039763504,0.078327584,-0.04824059,-0.023996081,-0.017392038,-0.072602573,0.064463013,-0.033381134,0.075447889,0.156810285,-0.279853078,-0.290860304,0.041129156,0.35851352,0.372746454,-0.195572033,1,0.944553471,0.127531166,-0.131713764
Other,0.014920887,0.030637921,0.03216594,0.067515333,-0.047185229,-0.01164069,-0.028110921,-0.070840025,0.059637514,-0.044756885,0.110197588,0.365241322,-0.242410304,-0.251312041,0.008228177,0.302998646,0.34494944,-0.20492286,0.944553471,1,0.087797609,-0.107436077
spl_days,0.076053343,0.030389046,0.03094097,0.072808114,-0.060840729,0.072026195,-0.024137939,-0.010918455,0.041893328,-0.054587806,-0.046771393,-0.049126002,-0.032354366,-0.179529459,0.064109114,0.184687627,0.194232038,-0.006847038,0.127531166,0.087797609,1,0.050778896
NPS,-0.063020572,-0.035737899,-0.035685511,-0.076832742,0.056140469,0.021673626,-0.00854933,0.003781261,-0.049274583,-0.000390762,-0.328715864,-0.166860767,-0.18147767,-0.291926515,-0.317454568,-0.221446304,-0.178187611,-0.252460824,-0.131713764,-0.107436077,0.050778896,1
